FRAME,DISP
1.0,0.0
2.0,-0.03594970703125
3.0,-0.255462646484375
4.0,-0.02947998046875
5.0,-0.017669677734375
6.0,-0.239898681640625
7.0,0.025665283203125
8.0,0.01251220703125
9.0,-0.170135498046875
10.0,0.031158447265625
11.0,-0.4573974609375
12.0,-0.377960205078125
13.0,-0.54290771484375
14.0,0.054229736328125
15.0,-0.152862548828125
16.0,-0.201263427734375
17.0,0.03521728515625
18.0,-0.059173583984375
19.0,-0.449249267578125
20.0,-0.079437255859375
21.0,-0.2669677734375
22.0,-0.327911376953125
23.0,-0.34967041015625
24.0,-0.58428955078125
25.0,-0.80029296875
26.0,-0.779510498046875
27.0,-0.82257080078125
28.0,-0.46966552734375
29.0,-0.4012451171875
30.0,-0.374237060546875
31.0,-0.436767578125
32.0,-0.169281005859375
33.0,-0.164337158203125
34.0,-0.761199951171875
35.0,-0.77813720703125
36.0,-0.880859375
37.0,-0.691314697265625
38.0,-0.305206298828125
39.0,-0.32196044921875
40.0,-0.32080078125
41.0,-0.637939453125
42.0,-1.15093994140625
43.0,-0.6868896484375
44.0,-0.673553466796875
45.0,-0.805450439453125
46.0,-0.85736083984375
47.0,-0.41583251953125
48.0,-0.88958740234375
49.0,-0.92169189453125
50.0,-0.9129638671875
51.0,-0.892181396484375
52.0,-1.012054443359375
53.0,-0.98321533203125
54.0,-1.074981689453125
55.0,-1.03033447265625
56.0,-1.202484130859375
57.0,-0.98260498046875
58.0,-0.923248291015625
59.0,-1.03485107421875
60.0,-1.09429931640625
61.0,-1.466522216796875
62.0,-1.29522705078125
63.0,-1.36163330078125
64.0,-1.26373291015625
65.0,-1.230224609375
66.0,-0.9940185546875
67.0,-1.25360107421875
68.0,-1.521697998046875
69.0,-1.279632568359375
70.0,-1.262359619140625
71.0,-1.242523193359375
72.0,-1.324676513671875
73.0,-1.231414794921875
74.0,-1.394317626953125
75.0,-1.63671875
76.0,-1.461456298828125
77.0,-1.25274658203125
78.0,-1.764678955078125
79.0,-1.60308837890625
80.0,-1.90423583984375
81.0,-1.7491455078125
82.0,-1.722930908203125
83.0,-2.007904052734375
84.0,-1.615692138671875
85.0,-2.070648193359375
86.0,-1.643524169921875
87.0,-1.9007568359375
88.0,-2.03997802734375
89.0,-2.14349365234375
90.0,-1.927276611328125
91.0,-2.306854248046875
92.0,-2.22393798828125
93.0,-2.021697998046875
94.0,-2.1077880859375
95.0,-1.90496826171875
96.0,-1.993133544921875
97.0,-2.1810302734375
98.0,-2.29791259765625
99.0,-1.872161865234375
100.0,-2.229156494140625
101.0,-2.482025146484375
102.0,-2.16754150390625
103.0,-2.09326171875
104.0,-2.37744140625
105.0,-2.102691650390625
106.0,-2.1051025390625
107.0,-2.07843017578125
108.0,-2.145111083984375
109.0,-2.130950927734375
110.0,-1.836334228515625
111.0,-2.807647705078125
112.0,-1.992462158203125
113.0,-2.324676513671875
114.0,-2.175323486328125
115.0,-2.1427001953125
116.0,-2.06396484375
117.0,-1.93756103515625
118.0,-2.253173828125
119.0,-1.846771240234375
120.0,-2.03350830078125
121.0,-2.5159912109375
122.0,-2.5762939453125
123.0,-1.84405517578125
124.0,-2.00677490234375
125.0,-2.187744140625
126.0,-2.189666748046875
127.0,-2.752471923828125
128.0,-2.626556396484375
129.0,-2.68719482421875
130.0,-2.142486572265625
131.0,-1.986297607421875
132.0,-2.064605712890625
133.0,-1.990478515625
134.0,-2.4515380859375
135.0,-2.292144775390625
136.0,-2.027862548828125
137.0,-2.0670166015625
138.0,-1.868133544921875
139.0,-1.99029541015625
140.0,-1.881744384765625
141.0,-1.80859375
142.0,-1.82196044921875
143.0,-2.06500244140625
144.0,-1.682830810546875
145.0,-2.058258056640625
146.0,-1.986724853515625
147.0,-1.540863037109375
148.0,-1.73175048828125
149.0,-1.90411376953125
150.0,-1.605865478515625
151.0,-1.773590087890625
152.0,-1.557037353515625
153.0,-1.31683349609375
154.0,-1.79461669921875
155.0,-1.92803955078125
156.0,-1.817718505859375
157.0,-1.758331298828125
158.0,-1.73162841796875
159.0,-1.657928466796875
160.0,-1.598358154296875
161.0,-1.67645263671875
162.0,-1.875701904296875
163.0,-1.8182373046875
164.0,-2.058349609375
165.0,-1.63226318359375
166.0,-1.906005859375
167.0,-1.587738037109375
168.0,-1.570098876953125
169.0,-1.681182861328125
170.0,-1.394134521484375
171.0,-1.3675537109375
172.0,-1.55657958984375
173.0,-1.586822509765625
174.0,-1.76275634765625
175.0,-1.162628173828125
176.0,-1.529571533203125
177.0,-1.6402587890625
178.0,-1.828155517578125
179.0,-1.6796875
180.0,-1.628326416015625
181.0,-1.764312744140625
182.0,-1.836517333984375
183.0,-1.914306640625
184.0,-1.791534423828125
185.0,-1.99658203125
186.0,-1.8580322265625
187.0,-1.8192138671875
188.0,-1.920928955078125
189.0,-2.04058837890625
190.0,-2.025970458984375
191.0,-2.7183837890625
192.0,-2.555084228515625
193.0,-2.572235107421875
194.0,-2.707489013671875
195.0,-2.203338623046875
196.0,-2.351959228515625
197.0,-2.4287109375
198.0,-2.239105224609375
199.0,-2.1949462890625
200.0,-2.524658203125
201.0,-2.336761474609375
202.0,-2.4403076171875
203.0,-2.70123291015625
204.0,-2.3199462890625
205.0,-2.580535888671875
206.0,-2.455108642578125
207.0,-2.637603759765625
208.0,-2.776214599609375
209.0,-2.77227783203125
210.0,-2.95355224609375
211.0,-2.86907958984375
212.0,-2.837127685546875
213.0,-2.967254638671875
214.0,-2.57672119140625
215.0,-2.583343505859375
216.0,-2.524627685546875
217.0,-2.500701904296875
218.0,-2.464752197265625
219.0,-2.6513671875
220.0,-2.6485595703125
221.0,-2.64764404296875
222.0,-2.403839111328125
223.0,-2.61822509765625
224.0,-2.5390625
225.0,-2.721343994140625
226.0,-2.822479248046875
227.0,-2.736236572265625
228.0,-2.676361083984375
229.0,-2.70281982421875
230.0,-2.668914794921875
231.0,-2.357421875
